address,decimals,lastTradeUnixTime,liquidity,mc,name,symbol,v24hChangePercent,v24hUSD,token_url
HGEnYnwDQ4nedp9am19X8AtXkvo6DVBsYYnS4iocZnDx,9,2024-04-06 14:04:17+00:00,7724.184489275578,9309.599852187584,Sushi Cat,SUSHI,-25.70654036520757,2543.516610149738,https://birdeye.so/token/HGEnYnwDQ4nedp9am19X8AtXkvo6DVBsYYnS4iocZnDx
6Hfwp6Fht1pEtusLsDqKuovBisPbFVoA7jZQYeK1aMmG,9,2024-04-06 14:06:27+00:00,11811.741149335317,20067.35280834699,FOFAR,FOFAR,-25.852349788120744,6697.609939249529,https://birdeye.so/token/6Hfwp6Fht1pEtusLsDqKuovBisPbFVoA7jZQYeK1aMmG
53QV6yUdC4C9iuibaFA1Xxe6NbaxaxcCqXLT3GgWg9YF,7,2024-04-06 14:18:38+00:00,4244.636467469295,10843.762516449013,DOJA CAT,DOJACAT,-26.069970430874307,4508.062972802822,https://birdeye.so/token/53QV6yUdC4C9iuibaFA1Xxe6NbaxaxcCqXLT3GgWg9YF
6GBhi36euJFdr8RQKcSJnSBTzwMMFJ8qNAfSjTJQYojh,9,2024-04-06 13:59:41+00:00,4740.563606608099,19480.188996771736,$RICH,$RICH,-26.279556776289255,7081.878635306694,https://birdeye.so/token/6GBhi36euJFdr8RQKcSJnSBTzwMMFJ8qNAfSjTJQYojh
7t9g9FwKceVRH4R4fAVMjrRBZvNS2nGkAjnVtcMNdvDy,6,2024-04-06 13:57:48+00:00,1823.241327924431,1002.9275630742044,Autistic Cat,AUC,-26.921357341086892,4064.1282317800087,https://birdeye.so/token/7t9g9FwKceVRH4R4fAVMjrRBZvNS2nGkAjnVtcMNdvDy
CDh8viLtjGfvYjzKYzPXzndAqD4hFdoRsPu2gFfSUxb9,9,2024-04-06 14:00:10+00:00,10094.227778086308,19433.591279617733,Da Wae,WAE,-28.547867651739523,1040.7214180515411,https://birdeye.so/token/CDh8viLtjGfvYjzKYzPXzndAqD4hFdoRsPu2gFfSUxb9
8hJn1BSayKshTyzUVPTSLhABuwYrnj8wyFoH7BQD2mF6,6,2024-04-06 14:23:27+00:00,11841.282979618558,25842.01305610436,ber,ber,-28.986947025043435,1005665.5121267505,https://birdeye.so/token/8hJn1BSayKshTyzUVPTSLhABuwYrnj8wyFoH7BQD2mF6
4iLCnCjpSpAV6Yce8a5wH8c5uwK6XAWXr1T1Zj4qMXHj,6,2024-04-06 14:17:49+00:00,3163.0744105573476,4103.686045684725,Book of Meow,BOMEOW,-29.689585395195685,1339.1874805912737,https://birdeye.so/token/4iLCnCjpSpAV6Yce8a5wH8c5uwK6XAWXr1T1Zj4qMXHj
7My8dtGuK5x4LturhGkMfU1azGGPSmh71AHsFCGASEFC,6,2024-04-06 14:16:24+00:00,5338.027861160292,13000.702549732114,Viral,VRL,-30.322150357574905,8364.242175555017,https://birdeye.so/token/7My8dtGuK5x4LturhGkMfU1azGGPSmh71AHsFCGASEFC
1LoqLf8wFnMaNmEHcxuWeLm7agQCQ6fsyukWVN5ArWA,9,2024-04-06 14:03:37+00:00,11493.439094321588,29677.304513541596,McCat ,McCat,-33.48552187264589,10735.038272365531,https://birdeye.so/token/1LoqLf8wFnMaNmEHcxuWeLm7agQCQ6fsyukWVN5ArWA
EY27Q3iVJsjpdT5pWChDuwd3LGdQBjjcQPXqmXEuZ2fr,7,2024-04-06 14:14:32+00:00,9398.37160329928,22210.890354186045,duk,duk,-33.86567216588995,51336.2907897447,https://birdeye.so/token/EY27Q3iVJsjpdT5pWChDuwd3LGdQBjjcQPXqmXEuZ2fr
